Shape,# target nodes
http://schema.org/Continent,84
http://schema.org/Movie,163409
http://schema.org/Taxon,458973
http://schema.org/TVSeries,44578
http://yago-knowledge.org/resource/Politician,280228
http://schema.org/Airport,12825
http://schema.org/City,61567
http://schema.org/Country,557
http://schema.org/Organization,681411
http://schema.org/Person,2771069
http://schema.org/AdministrativeArea,789606
http://schema.org/Corporation,118944
http://schema.org/Language,4283
http://yago-knowledge.org/resource/HumanMadeGeographicalEntity,469196
http://schema.org/Airline,4474
http://schema.org/Newspaper,9996
http://yago-knowledge.org/resource/Award,27026
http://schema.org/Event,479289
http://yago-knowledge.org/resource/Way,63872
http://schema.org/Landform,172380
http://schema.org/Product,454445
http://yago-knowledge.org/resource/Creator,916387
http://yago-knowledge.org/resource/Election,39233
http://schema.org/MusicGroup,47994
http://schema.org/Book,21131
http://schema.org/CreativeWork,963526
http://yago-knowledge.org/resource/FictionalEntity,47890
http://schema.org/BodyOfWater,73486
http://yago-knowledge.org/resource/AstronomicalObject,44110
http://schema.org/PerformingGroup,50049
http://schema.org/EducationalOrganization,98212
http://yago-knowledge.org/resource/Gender,48
http://yago-knowledge.org/resource/BeliefSystem,1224
http://yago-knowledge.org/resource/Worker,2380486
http://yago-knowledge.org/resource/SportsPerson,710904
http://schema.org/MusicComposition,53161
http://schema.org/Place,1428944
http://schema.org/Thing,6596140
http://yago-knowledge.org/resource/Academic,29775
http://www.w3.org/2000/01/rdf-schema#Class,60983
